,drop_min,TERMLEVEL,forecast_com,drop_max,level_min,alpha,level_max,initlevel,river,id
167,0,0,0,18.00729,0,1.14686,72.02917,36.01458,7,154421
168,0,0,0,19.9345,0,1.19825,79.73799,39.869,7,154422
169,0,0,0,44.49929,0,1.85331,177.99715,88.99858,2,154423
170,0,0,0,41.26819,0,1.76715,165.07277,82.53639,7,154424
171,0,0,0,27.14196,0,1.39045,108.56782,54.28391,7,154426
172,0,0,0,35.12992,0,1.60346,140.51968,70.25984,7,154428
173,0,0,0,47.53588,0,1.93429,190.14352,95.07176,7,154430
174,0,0,0,15.61386,0,1.08304,62.45545,31.22772,7,154432
175,0,0,0,31.8425,0,1.5158,127.37001,63.68501,7,154433
176,0,0,0,19.36865,0,1.18316,77.47459,38.7373,7,154434
177,0,0,0,28.22036,0,1.41921,112.88145,56.44072,7,154436
178,0,0,0,33.29633,0,1.55457,133.1853,66.59265,7,154438
179,0,0,0,23.14083,0,1.28376,92.5633,46.28165,7,154440
180,0,0,0,30.10272,0,1.46941,120.41089,60.20544,7,154442
181,0,0,0,32.31492,0,1.5284,129.25968,64.62984,7,154444
182,0,0,0,21.85119,0,1.24937,87.40475,43.70238,7,154445
183,0,0,0,41.03236,0,1.76086,164.12945,82.06473,7,154446
184,0,0,0,49.54882,0,1.98797,198.19529,99.09764,7,154448
185,0,0,0,34.44279,0,1.58514,137.77115,68.88558,7,154454
186,0,0,0,37.89517,0,1.6772,151.5807,75.79035,7,154456
187,0,0,0,27.90576,0,1.41082,111.62305,55.81152,7,154458
188,0,0,0,19.06994,0,1.1752,76.27976,38.13988,7,154460
189,0,0,0,34.95309,0,1.59875,139.81236,69.90618,2,154470
190,0,0,0,34.12065,0,1.57655,136.48262,68.24131,2,154472
191,0,0,0,38.36415,0,1.68971,153.4566,76.7283,2,154474
192,0,0,0,30.38362,0,1.4769,121.53448,60.76724,2,154476
193,0,0,0,35.45987,0,1.61226,141.8395,70.91975,2,154478
194,0,0,0,33.70639,0,1.5655,134.82556,67.41278,2,154480
195,0,0,0,22.72293,0,1.27261,90.89173,45.44586,7,154482
196,0,0,0,27.72912,0,1.40611,110.9165,55.45825,7,154484
197,0,0,0,12.7374,0,1.00633,50.94959,25.47479,7,154486
198,0,0,0,28.65532,0,1.43081,114.62129,57.31065,7,154488
199,0,0,0,39.05994,0,1.70826,156.23975,78.11987,2,154489
200,0,0,0,44.06195,0,1.84165,176.24779,88.12389,7,154490
201,0,0,0,42.00862,0,1.7869,168.03448,84.01724,7,154491
202,0,0,0,39.61699,0,1.72312,158.46797,79.23398,2,154492
203,0,0,0,40.3767,0,1.74338,161.50679,80.7534,7,154493
204,0,0,0,19.56442,0,1.18838,78.25768,39.12884,7,154494
205,0,0,0,39.177,0,1.71139,156.70799,78.354,7,154495
206,0,0,0,37.76752,0,1.6738,151.07007,75.53503,7,154496
207,0,0,0,15.34718,0,1.07592,61.38872,30.69436,6,154600
208,0,0,0,35.66324,0,1.61769,142.65294,71.32647,6,154603
209,0,0,0,37.49438,0,1.66652,149.97752,74.98876,6,154606
210,0,0,0,44.29593,0,1.84789,177.18373,88.59187,6,154607
211,0,0,0,47.20023,0,1.92534,188.80091,94.40046,6,154609
212,0,0,0,14.91582,0,1.06442,59.66327,29.83163,6,154610
213,0,0,0,25.22914,0,1.33944,100.91655,50.45828,6,154611
214,0,0,0,43.10893,0,1.81624,172.43571,86.21786,6,154612
215,0,0,0,25.36925,0,1.34318,101.47702,50.73851,6,154618
216,0,0,0,30.39131,0,1.4771,121.56525,60.78262,7,154620
217,0,0,0,12.54461,0,1.00119,50.17846,25.08923,6,154621
218,0,0,0,34.02756,0,1.57407,136.11025,68.05513,6,154622
219,0,0,0,16.92771,0,1.11807,67.71085,33.85543,6,154624
220,0,0,0,16.05812,0,1.09488,64.23249,32.11624,6,154625
221,0,0,0,17.52054,0,1.13388,70.08214,35.04107,3,154700
222,0,0,0,32.09218,0,1.52246,128.36871,64.18436,3,154705
223,0,0,0,14.37218,0,1.04992,57.48872,28.74436,3,154711
224,0,0,0,28.15244,0,1.4174,112.60976,56.30488,3,154717
225,0,0,0,15.9532,0,1.09209,63.81281,31.90641,3,154720
226,0,0,0,29.65254,0,1.4574,118.61015,59.30507,3,154723
227,0,0,0,29.10175,0,1.44271,116.40698,58.20349,3,154726
228,0,0,0,44.2218,0,1.84591,176.88719,88.44359,3,154729
229,0,0,0,20.80117,0,1.22136,83.20467,41.60234,3,154732
230,0,0,0,47.22105,0,1.92589,188.88422,94.44211,3,154735
231,0,0,0,48.24276,0,1.95314,192.97104,96.48552,3,154738
232,0,0,0,39.96511,0,1.7324,159.86043,79.93022,3,154741
233,0,0,0,27.15327,0,1.39075,108.61309,54.30655,3,154744
234,0,0,0,36.04715,0,1.62792,144.18862,72.09431,3,154747
235,0,0,0,25.11761,0,1.33647,100.47045,50.23523,3,154753
236,0,0,0,37.1752,0,1.65801,148.70082,74.35041,3,154756
237,0,0,0,20.20824,0,1.20555,80.83297,40.41648,3,154758
238,0,0,0,47.70847,0,1.93889,190.8339,95.41695,3,154759
239,0,0,0,42.48297,0,1.79955,169.93188,84.96594,3,154760
240,0,0,0,43.62525,0,1.83001,174.501,87.2505,6,154761
241,0,0,0,46.68149,0,1.91151,186.72594,93.36297,6,154762
242,0,0,0,14.1464,0,1.0439,56.58559,28.2928,6,154763
243,0,0,0,23.58575,0,1.29562,94.343,47.1715,6,154764
244,0,0,0,29.39733,0,1.4506,117.58933,58.79467,3,154768
245,0,0,0,40.11521,0,1.73641,160.46082,80.23041,6,154831
246,0,0,0,25.4522,0,1.34539,101.80881,50.9044,6,154832
247,0,0,0,47.66326,0,1.93769,190.65306,95.32653,3,154833
248,0,0,0,17.1937,0,1.12517,68.77479,34.3874,6,154834
249,0,0,0,29.34345,0,1.44916,117.37379,58.6869,6,154835
250,0,0,0,48.08354,0,1.94889,192.33416,96.16708,8,154840
251,0,0,0,19.21726,0,1.17913,76.86905,38.43452,5,154842
252,0,0,0,48.71143,0,1.96564,194.84572,97.42286,8,154845
253,0,0,0,35.67577,0,1.61802,142.70308,71.35154,5,154846
254,0,0,0,35.69538,0,1.61854,142.78152,71.39076,5,154847
255,0,0,0,34.87986,0,1.5968,139.51944,69.75972,5,154848
256,0,0,0,23.68523,0,1.29827,94.74093,47.37047,5,154849
257,0,0,0,17.9104,0,1.14428,71.64159,35.8208,5,154850
258,0,0,0,23.46867,0,1.2925,93.87467,46.93734,5,154852
259,0,0,0,49.92399,0,1.99797,199.69597,99.84798,5,154853
